method,dataset,n_clusters,top_k,test_accuracy,confidence,negative_f1,positive_f1,elapsed
MainApproch_PCA,imdb,2,1,0.51116,0.06718446514771635,0.5302686704846831,0.4904307217612475,0.22192788124084473
MainApproch_PCA,imdb,4,1,0.52872,0.07558411144293657,0.43115102356122054,0.5977192024037148,0.21843695640563965
MainApproch_PCA,imdb,4,2,0.5,0.07558411144293657,0.0,0.6666666666666666,0.21508574485778809
MainApproch_PCA,imdb,8,1,0.51624,0.09197624494199151,0.4357562750769805,0.576629559616327,0.21941041946411133
MainApproch_PCA,imdb,8,2,0.51616,0.09197624494199151,0.4267841910719363,0.5814243200221468,0.21599245071411133
MainApproch_PCA,imdb,8,4,0.51772,0.09197624494199151,0.4452215524777987,0.5734602186294973,0.2159872055053711
MainApproch_PCA,imdb,16,1,0.52628,0.11441485368788229,0.4624880860527391,0.5765366324596846,0.21958184242248535
MainApproch_PCA,imdb,16,2,0.53048,0.11441485368788229,0.39866803278688523,0.6148950131233597,0.2167205810546875
MainApproch_PCA,imdb,16,4,0.52856,0.11441485368788229,0.43656181279281,0.5947321367168695,0.2190549373626709
MainApproch_PCA,imdb,16,8,0.51736,0.11441485368788229,0.4860720674674163,0.5450569338662243,0.22083306312561035
MainApproch_PCA,imdb,32,1,0.52968,0.1306397793724191,0.35671298829193565,0.62934241220604,0.21970295906066895
MainApproch_PCA,imdb,32,2,0.5152,0.1306397793724191,0.2116560426694419,0.6499740079708889,0.22095465660095215
MainApproch_PCA,imdb,32,4,0.52256,0.1306397793724191,0.2901153800404425,0.6403302597480864,0.2238471508026123
MainApproch_PCA,imdb,32,8,0.52904,0.1306397793724191,0.4105336938019425,0.6078731765802972,0.22391366958618164
MainApproch_PCA,imdb,32,16,0.51612,0.1306397793724191,0.5072705796097918,0.5246571574521592,0.22796344757080078
MainApproch_PCA,imdb,64,1,0.52792,0.13153146684048017,0.41347778550839875,0.6049936408059441,0.22291254997253418
MainApproch_PCA,imdb,64,2,0.52212,0.13153146684048017,0.28585091756829456,0.6409185176279643,0.2290201187133789
MainApproch_PCA,imdb,64,4,0.52976,0.13153146684048017,0.36080904741191827,0.6280688433308024,0.2303009033203125
MainApproch_PCA,imdb,64,8,0.53068,0.13153146684048017,0.38830092278817585,0.6192932930984133,0.23213768005371094
MainApproch_PCA,imdb,64,16,0.52612,0.13153146684048017,0.4365279429250892,0.5911302847282139,0.23616743087768555
MainApproch_PCA,imdb,64,32,0.51664,0.13153146684048017,0.5191404695582968,0.5141133896260556,0.23979640007019043
MainApproch_PCA,imdb,128,1,0.52524,0.12736468520138813,0.4240865641224708,0.5961688952400395,0.22703981399536133
MainApproch_PCA,imdb,128,2,0.52616,0.12736468520138813,0.4139125272115574,0.6023230831207198,0.24515557289123535
MainApproch_PCA,imdb,128,4,0.53036,0.12736468520138813,0.386988983449068,0.6193795182675788,0.24399185180664062
MainApproch_PCA,imdb,128,8,0.53016,0.12736468520138813,0.38028912102986173,0.6216581846292599,0.25280165672302246
MainApproch_PCA,imdb,128,16,0.52924,0.12736468520138813,0.4161333531775562,0.6056361625841907,0.26106882095336914
MainApproch_PCA,imdb,128,32,0.53036,0.12736468520138813,0.454541231126597,0.587673397717296,0.2621614933013916
MainApproch_PCA,imdb,128,64,0.51416,0.12736468520138813,0.5492466414310102,0.4731499956623579,0.2662391662597656
MainApproch_PCA,imdb,256,1,0.52716,0.14010533782968826,0.4261929032571235,0.5979114935882173,0.23811936378479004
MainApproch_PCA,imdb,256,2,0.52904,0.14010533782968826,0.3694301628106255,0.6241700715015321,0.2863626480102539
MainApproch_PCA,imdb,256,4,0.5234,0.14010533782968826,0.35985601461344213,0.6203842355115174,0.28740358352661133
MainApproch_PCA,imdb,256,8,0.52892,0.14010533782968826,0.3518793682240933,0.6299915171698766,0.28996992111206055
MainApproch_PCA,imdb,256,16,0.5306,0.14010533782968826,0.37622920321054587,0.6237214223875334,0.2935316562652588
MainApproch_PCA,imdb,256,32,0.53028,0.14010533782968826,0.4132900324756433,0.6083708520927129,0.2977900505065918
MainApproch_PCA,imdb,256,64,0.52924,0.14010533782968826,0.4561711566008964,0.584999471067386,0.3016958236694336
MainApproch_PCA,imdb,256,128,0.51844,0.14010533782968826,0.5184207368294732,0.5184592616295349,0.3154869079589844
MainApproch_PCA,imdb,512,1,0.52896,0.16188050507811363,0.462332207104374,0.5808954373976796,0.26541590690612793
MainApproch_PCA,imdb,512,2,0.52784,0.16188050507811363,0.40659561632817204,0.6079447322970639,0.374500036239624
MainApproch_PCA,imdb,512,4,0.5254,0.16188050507811363,0.38849662423336595,0.612216884008236,0.3752567768096924
MainApproch_PCA,imdb,512,8,0.53004,0.16188050507811363,0.3758168198480582,0.6231516823299227,0.37918758392333984
MainApproch_PCA,imdb,512,16,0.52988,0.16188050507811363,0.3850782190132371,0.619483925276006,0.3815956115722656
MainApproch_PCA,imdb,512,32,0.5306,0.16188050507811363,0.3894698506841475,0.6187335520972091,0.3861534595489502
MainApproch_PCA,imdb,512,64,0.52932,0.16188050507811363,0.40866375194733406,0.6090827547257566,0.39420223236083984
MainApproch_PCA,imdb,512,128,0.5262,0.16188050507811363,0.4437138965857324,0.5873828682899641,0.3975865840911865
MainApproch_PCA,imdb,512,256,0.51836,0.16188050507811363,0.511818366105818,0.5247286362739294,0.40547943115234375
MainApproch_PCA,imdb,1024,1,0.51932,0.20143849082374485,0.4661246612466125,0.5628751227674511,0.3048980236053467
MainApproch_PCA,imdb,1024,2,0.52112,0.20143849082374485,0.28491219687014696,0.6400264597991461,0.5073325634002686
MainApproch_PCA,imdb,1024,4,0.52852,0.20143849082374485,0.3468720562974456,0.6311144493474791,0.508450984954834
