method,dataset,n_clusters,top_k,test_accuracy,confidence,negative_f1,positive_f1,elapsed
MainApproch,imdb,2,1,0.52352,0.07535344194151375,0.6417228103946102,0.28892072588347656,0.2511286735534668
MainApproch,imdb,4,1,0.56488,0.12755992694094515,0.5081833800524459,0.6098558209597589,0.26299166679382324
MainApproch,imdb,4,2,0.5078,0.12755992694094515,0.07543767375460216,0.664631653539015,0.26326894760131836
MainApproch,imdb,8,1,0.57952,0.15186269840037767,0.5646844459168461,0.5933776883800093,0.28690361976623535
MainApproch,imdb,8,2,0.54616,0.15186269840037767,0.34590107229332406,0.652538739511239,0.2875964641571045
MainApproch,imdb,8,4,0.51392,0.15186269840037767,0.18311374025275612,0.6540257373875413,0.3015592098236084
MainApproch,imdb,16,1,0.6024,0.28675809100819005,0.5442875481386393,0.6473676741875977,0.330674409866333
MainApproch,imdb,16,2,0.56664,0.28675809100819005,0.3505574871118571,0.6748304219941175,0.33292055130004883
MainApproch,imdb,16,4,0.55836,0.28675809100819005,0.3360394491550905,0.6691438674298044,0.3327524662017822
MainApproch,imdb,16,8,0.53308,0.28675809100819005,0.2464656897553418,0.6617404155437712,0.3338816165924072
MainApproch,imdb,32,1,0.62524,0.30161655723771297,0.5851304078288979,0.6582777109092899,0.42147088050842285
MainApproch,imdb,32,2,0.55696,0.30161655723771297,0.2597246357438845,0.6838860665563105,0.4259333610534668
MainApproch,imdb,32,4,0.61228,0.30161655723771297,0.45773426573426573,0.698272373540856,0.42537856101989746
MainApproch,imdb,32,8,0.60644,0.30161655723771297,0.45268954775546527,0.6927520844393092,0.42621397972106934
MainApproch,imdb,32,16,0.54648,0.30161655723771297,0.2514195167040803,0.6747001778848913,0.42983484268188477
MainApproch,imdb,64,1,0.65968,0.3343124171969651,0.6335917312661499,0.6823002240477968,0.5981268882751465
MainApproch,imdb,64,2,0.61608,0.3343124171969651,0.45908476104598744,0.7024429563492064,0.6936874389648438
MainApproch,imdb,64,4,0.6378,0.3343124171969651,0.521431213995032,0.7086457093214068,0.722689151763916
MainApproch,imdb,64,8,0.63524,0.3343124171969651,0.5145594889539525,0.7078648085856158,0.7213881015777588
MainApproch,imdb,64,16,0.6344,0.3343124171969651,0.5053577226972616,0.7100437789480362,0.7203083038330078
MainApproch,imdb,64,32,0.54724,0.3343124171969651,0.24725676664228236,0.6762577582015273,0.7206716537475586
MainApproch,imdb,128,1,0.66728,0.37719161267375034,0.6678380321060617,0.6667200897507813,1.1138684749603271
MainApproch,imdb,128,2,0.65456,0.37719161267375034,0.5662045408880853,0.7130134254951481,1.0446021556854248
MainApproch,imdb,128,4,0.68044,0.37719161267375034,0.6200599229561992,0.7242605184136954,0.9924874305725098
MainApproch,imdb,128,8,0.69268,0.37719161267375034,0.6567790931427295,0.7217816404128191,1.070070743560791
MainApproch,imdb,128,16,0.69832,0.37719161267375034,0.6817184334908846,0.7132755474452553,0.9817156791687012
MainApproch,imdb,128,32,0.68852,0.37719161267375034,0.680978327666025,0.6957133367199406,0.9910757541656494
MainApproch,imdb,128,64,0.66016,0.37719161267375034,0.6664572864321608,0.6536203522504892,0.9861180782318115
MainApproch,imdb,256,1,0.67756,0.4188730122928028,0.6547308005311174,0.6975574982178366,1.7984154224395752
MainApproch,imdb,256,2,0.65244,0.4188730122928028,0.5427082785116573,0.7197006355043711,1.860025405883789
MainApproch,imdb,256,4,0.68084,0.4188730122928028,0.6073520003936814,0.731156710131743,1.8605866432189941
MainApproch,imdb,256,8,0.69468,0.4188730122928028,0.6388113377182606,0.7355804205494162,1.868769645690918
MainApproch,imdb,256,16,0.70348,0.4188730122928028,0.6566306915558849,0.7390799338284466,1.864065170288086
MainApproch,imdb,256,32,0.71012,0.4188730122928028,0.6655282226427285,0.7442205202414146,1.8730289936065674
MainApproch,imdb,256,64,0.6972,0.4188730122928028,0.6365120522423894,0.7405223829437171,1.8702819347381592
MainApproch,imdb,256,128,0.63524,0.4188730122928028,0.48841514726507707,0.7165811965811967,1.8825078010559082
MainApproch,imdb,512,1,0.62416,0.4835681071045694,0.5525714285714285,0.676,3.3894946575164795
MainApproch,imdb,512,2,0.58508,0.4835681071045694,0.36044145754978724,0.6929338977531748,3.4962704181671143
MainApproch,imdb,512,4,0.62176,0.4835681071045694,0.45947181890934025,0.7090998584876639,3.5126452445983887
