method,dataset,test_accuracy,test_loss,elapsed
Linear,imdb,0.8400908801020408,0.3861367878865223,0.24523234367370605
Linear,sst2,0.8324175824175823,0.37992594497544424,0.008836746215820312
Linear,y_p,0.9033376924001925,0.2366356527062779,0.3669438362121582
Bert_LSTM,imdb,0.8664939413265306,0.44057005993565734,0.31678032875061035
Bert_LSTM,sst2,0.844007554945055,0.4643047962869917,0.01403188705444336
Bert_LSTM,y_p,0.923205266955267,0.38635480313590076,0.4898087978363037
Bert_biLSTM,imdb,0.8656409438775511,0.4410494340925801,0.457413911819458
Bert_biLSTM,sst2,0.8428914835164836,0.4676291985171182,0.015494585037231445
Bert_biLSTM,y_p,0.9296987734487735,0.38079518290481185,0.5971009731292725
Bert_GRU,imdb,0.8658482142857143,0.4410034072946529,0.2982044219970703
Bert_GRU,sst2,0.844007554945055,0.46431038635117666,0.012418746948242188
Bert_GRU,y_p,0.9228106962481962,0.38669606531509243,0.44289255142211914
Bert_biGRU,imdb,0.8659359056122449,0.4408598663855572,0.350222110748291
Bert_biGRU,sst2,0.8428914835164836,0.4695657917431423,0.014594793319702148
Bert_biGRU,y_p,0.9287818662818662,0.3817759960990161,0.5738191604614258

