method,dataset,n_clusters,top_k,test_accuracy,confidence,negative_f1,positive_f1,elapsed
MainApproch,imdb,2,1,0.49844,0.04670602901683756,0.013841918993314982,0.6636985382861741,0.24620962142944336
MainApproch,imdb,4,1,0.55132,0.23100421103841565,0.3581115879828326,0.6551268255188317,0.26096558570861816
MainApproch,imdb,4,2,0.5,0.23100421103841565,0.0,0.6666666666666666,0.2555081844329834
MainApproch,imdb,8,1,0.57176,0.25721852390393257,0.5476592868007437,0.5934224517697099,0.2760283946990967
MainApproch,imdb,8,2,0.52012,0.25721852390393257,0.21098322920092075,0.6552090817646212,0.2783503532409668
MainApproch,imdb,8,4,0.50004,0.25721852390393257,0.00015998720102391808,0.6666844449185311,0.2740159034729004
MainApproch,imdb,16,1,0.57124,0.29213781607758527,0.6728521287959713,0.37806788511749345,0.31721043586730957
MainApproch,imdb,16,2,0.54452,0.29213781607758527,0.44575322462886346,0.6134102868782889,0.3259241580963135
MainApproch,imdb,16,4,0.5392,0.29213781607758527,0.2652123995407577,0.6643552240545423,0.31423377990722656
MainApproch,imdb,16,8,0.50012,0.29213781607758527,0.0006397441023590565,0.666702226963595,0.3155326843261719
MainApproch,imdb,32,1,0.53788,0.328820736231231,0.6741870893144195,0.2054879306787704,0.4217367172241211
MainApproch,imdb,32,2,0.60688,0.328820736231231,0.66473357440131,0.5248960649714783,0.41616058349609375
MainApproch,imdb,32,4,0.62436,0.328820736231231,0.6304647227796797,0.6180501891243341,0.4027233123779297
MainApproch,imdb,32,8,0.64032,0.328820736231231,0.5921255556563549,0.6783286828360879,0.4095897674560547
MainApproch,imdb,32,16,0.51536,0.328820736231231,0.08323244552058111,0.6706176598521096,0.41076016426086426
MainApproch,imdb,64,1,0.62728,0.37816453251484794,0.6949718475841299,0.5209747069710056,0.5878019332885742
MainApproch,imdb,64,2,0.6544,0.37816453251484794,0.667513276379589,0.6402098775714167,0.6525707244873047
MainApproch,imdb,64,4,0.65676,0.37816453251484794,0.7006453863596721,0.5977970471056948,0.6374936103820801
MainApproch,imdb,64,8,0.63012,0.37816453251484794,0.6961322335776018,0.5274669119525781,0.6236388683319092
MainApproch,imdb,64,16,0.6262,0.37816453251484794,0.6760270410816434,0.5582604585204443,0.6628420352935791
MainApproch,imdb,64,32,0.62124,0.37816453251484794,0.4877468217473627,0.6995399016341425,0.6678497791290283
MainApproch,imdb,128,1,0.60832,0.41772782239717365,0.6714975845410628,0.5150554675118858,0.9460792541503906
MainApproch,imdb,128,2,0.6272,0.41772782239717365,0.5902936521892035,0.6580067517980333,1.039869785308838
MainApproch,imdb,128,4,0.62336,0.41772782239717365,0.5779092702169625,0.6599739997111079,1.0112864971160889
MainApproch,imdb,128,8,0.62732,0.41772782239717365,0.6120987551521713,0.641391786305377,1.0786445140838623
MainApproch,imdb,128,16,0.63884,0.41772782239717365,0.6527708341345229,0.6237446347460099,1.0198814868927002
MainApproch,imdb,128,32,0.66568,0.41772782239717365,0.694115063680281,0.6314164755688835,0.9895815849304199
MainApproch,imdb,128,64,0.56996,0.41772782239717365,0.30382697662371305,0.6888908180686981,1.0894627571105957
MainApproch,imdb,256,1,0.60324,0.4437651727073153,0.6668681780016792,0.5095673671199011,1.9543209075927734
MainApproch,imdb,256,2,0.61888,0.4437651727073153,0.6268504738779666,0.6105615956838061,1.991147518157959
MainApproch,imdb,256,4,0.62696,0.4437651727073153,0.6691969353007945,0.5723587674247983,1.943648338317871
MainApproch,imdb,256,8,0.63516,0.4437651727073153,0.6811842427208222,0.5736057220326306,2.012632131576538
MainApproch,imdb,256,16,0.66052,0.4437651727073153,0.6818846283593838,0.6360790703657647,1.9409823417663574
MainApproch,imdb,256,32,0.66364,0.4437651727073153,0.6610230983190228,0.6662168062557058,1.8306405544281006
